lr,entropy_coef,n_steps,n_epochs,gamma,clip_eps,normalize_rewards,wins,win_rate_pct,rank,episodes
0.0003,0.0,512,6,0.95,0.1,False,496,16.53,4,3000
0.001,0.0,1024,2,0.95,0.1,True,496,16.53,4,3000
0.0003,0.01,512,10,0.95,0.15,False,492,16.40,4,3000
0.001,0.001,512,6,0.95,0.3,False,487,16.23,4,3000
0.0003,0.01,512,10,0.99,0.15,True,487,16.23,4,3000
0.001,0.0,1024,2,0.99,0.2,True,486,16.20,4,3000
0.003,0.0,256,10,0.95,0.15,False,481,16.03,4,3000
0.0001,0.001,1024,10,0.95,0.15,True,477,15.90,4,3000
0.0001,0.001,1024,10,0.99,0.1,False,469,15.63,4,3000
0.003,0.0,256,10,0.95,0.1,False,467,15.57,4,3000
0.001,0.0,1024,2,0.95,0.2,False,459,15.30,4,3000
0.003,0.01,512,4,0.95,0.15,True,444,14.80,4,3000
0.003,0.0,256,10,0.95,0.1,True,439,14.63,4,3000
0.0003,0.01,512,10,0.95,0.15,True,438,14.60,4,3000
0.001,0.01,256,6,0.99,0.3,True,434,14.47,4,3000
0.003,0.0,256,10,0.99,0.1,True,430,14.33,4,3000
0.001,0.001,512,6,0.95,0.15,False,424,14.13,4,3000
0.001,0.01,256,6,0.95,0.1,True,420,14.00,4,3000
0.0003,0.01,512,10,0.99,0.1,True,408,13.60,4,3000
0.0003,0.01,512,10,0.95,0.1,False,407,13.57,4,3000
0.0001,0.001,1024,10,0.95,0.1,True,402,13.40,4,3000
0.001,0.0,1024,2,0.99,0.15,False,397,13.23,4,3000
0.003,0.001,128,10,0.99,0.1,True,390,13.00,4,3000
0.001,0.001,512,6,0.95,0.15,True,389,12.97,4,3000
0.0003,0.01,512,10,0.95,0.2,True,379,12.63,4,3000
0.001,0.001,512,6,0.95,0.2,False,373,12.43,4,3000
0.001,0.001,512,6,0.99,0.3,True,340,11.33,4,3000
0.0003,0.0,512,10,0.99,0.2,True,337,11.23,4,3000
0.003,0.01,512,4,0.95,0.2,True,335,11.17,4,3000
0.001,0.001,512,6,0.95,0.1,False,333,11.10,4,3000
0.0003,0.0,512,6,0.99,0.15,True,330,11.00,4,3000
0.003,0.01,512,4,0.99,0.2,True,324,10.80,4,3000
0.0001,0.01,256,2,0.99,0.1,False,320,10.67,4,3000
0.001,0.0,1024,2,0.95,0.1,False,312,10.40,4,3000
0.0003,0.0,512,10,0.99,0.1,True,309,10.30,4,3000
0.0003,0.0,512,6,0.95,0.1,True,293,9.77,4,3000
0.0003,0.0,512,10,0.95,0.1,False,287,9.57,4,3000
0.003,0.01,512,4,0.99,0.1,True,235,7.83,4,3000
0.001,0.0,1024,2,0.99,0.1,True,231,7.70,4,3000
0.003,0.01,512,4,0.95,0.1,False,221,7.37,4,3000
0.0003,0.01,512,10,0.95,0.1,True,219,7.30,4,3000
0.003,0.01,512,4,0.95,0.15,False,182,6.07,4,3000
0.003,0.01,512,4,0.95,0.1,True,174,5.80,4,3000
0.001,0.001,512,6,0.95,0.1,True,166,5.53,4,3000
0.001,0.0,1024,2,0.99,0.15,True,163,5.43,4,3000
0.001,0.001,512,6,0.99,0.1,True,90,3.00,4,3000
