update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
257,buy,-0.0453,0.1524,0.0628,0.0309
258,improve,-0.003,0.1213,0.0074,0.0576
259,improve,-0.0002,0.0121,0.0106,0.0059
260,buy,-0.0473,0.1836,0.0649,0.0445
261,improve,0.0044,0.2054,0.0085,0.1071
262,improve,-0.0018,0.0273,0.0029,0.0119
263,buy,0.0693,0.1451,0.0631,0.1418
264,improve,-0.0054,0.1227,0.0059,0.0559
265,buy,0.0019,0.1381,0.0623,0.0708
266,improve,-0.0052,0.0398,0.0054,0.0147
267,improve,0.0011,0.0102,0.0046,0.0062
268,buy,0.0079,0.1027,0.061,0.0592
269,improve,0.0121,0.1302,0.0031,0.0771
270,improve,0.0185,0.0772,0.0042,0.0571
271,buy,-0.0233,0.1383,0.0639,0.0458
272,improve,0.0144,0.1218,0.0032,0.0753
273,improve,-0.0,0.0463,0.0025,0.0231
274,buy,0.0093,0.1041,0.0582,0.0613
275,improve,0.0119,0.2584,0.0084,0.1411
276,buy,0.0118,0.1557,0.0565,0.0896
277,improve,0.0103,0.0966,0.0051,0.0586
278,buy,0.0015,0.1058,0.0562,0.0543
279,improve,0.0177,0.0798,0.0054,0.0576
280,buy,0.0055,0.1031,0.0597,0.057
281,improve,0.0069,0.0165,0.0019,0.0151
282,improve,0.0139,0.0359,0.005,0.0319
283,buy,0.071,0.0975,0.0609,0.1197
284,improve,-0.0016,0.0723,0.0034,0.0345
285,buy,0.0022,0.1885,0.0653,0.0964
286,improve,-0.0485,0.0492,0.0074,-0.0239
287,buy,-0.0,0.2569,0.0618,0.1284
288,improve,0.0005,0.2983,0.0061,0.1497
289,buy,-0.0903,0.3267,0.0621,0.073
290,improve,-0.0001,0.2468,0.0055,0.1232
291,improve,0.0875,0.0299,0.0069,0.1024
292,improve,-0.0111,0.067,0.0084,0.0224
293,buy,0.0192,0.1772,0.062,0.1078
294,improve,-0.0033,0.0663,0.0032,0.0299
295,improve,-0.0246,0.008,0.0057,-0.0206
296,buy,0.0742,0.1584,0.0643,0.1533
297,improve,-0.0041,0.0628,0.0037,0.0273
298,buy,-0.0764,0.1961,0.0665,0.0216
299,improve,-0.0018,0.0122,0.0043,0.0042
300,buy,-0.0084,0.1974,0.0523,0.0902
301,improve,-0.0611,0.0469,0.0062,-0.0377
302,buy,-0.1138,0.2097,0.0549,-0.009
303,improve,-0.0018,0.0041,0.0037,0.0002
304,improve,0.0002,0.0034,0.0036,0.0019
305,improve,0.0607,0.0491,0.0043,0.0852
306,buy,-0.0668,0.1459,0.0551,0.0061
307,improve,-0.0034,0.046,0.0055,0.0196
308,buy,-0.014,0.1614,0.0559,0.0666
309,improve,-0.0535,0.0855,0.0038,-0.0108
310,improve,-0.0126,0.0121,0.0039,-0.0066
311,buy,0.0026,0.1514,0.0569,0.0782
312,improve,-0.0051,0.0712,0.009,0.0305
313,buy,-0.0157,0.1753,0.0569,0.0718
314,improve,-0.0048,0.0226,0.0111,0.0065
315,buy,0.009,0.2267,0.0684,0.1223
316,improve,-0.0004,0.0581,0.013,0.0286
317,improve,-0.0112,0.0085,0.0094,-0.0069
318,improve,-0.0026,0.0151,0.0065,0.0049
319,improve,0.0532,0.0063,0.0099,0.0563
320,buy,0.0826,0.2196,0.062,0.1924
321,improve,0.0002,0.4414,0.0077,0.2209
322,improve,-0.0257,0.1305,0.0043,0.0395
323,buy,-0.0107,0.1,0.0646,0.0393
324,improve,-0.0002,0.0462,0.005,0.0229
325,buy,0.1016,0.1908,0.0605,0.1969
326,improve,-0.0048,0.0626,0.0058,0.0265
327,buy,-0.025,0.3098,0.0679,0.1299
328,improve,0.0089,0.043,0.0059,0.0304
329,buy,-0.2391,0.4666,0.0636,-0.0059
330,improve,-0.0068,0.1251,0.0125,0.0557
331,improve,-0.1326,0.0391,0.0086,-0.113
332,buy,0.0602,0.1596,0.0643,0.1399
333,improve,-0.0139,0.0922,0.0044,0.0321
334,improve,0.0356,0.1477,0.0031,0.1094
335,buy,-0.0504,0.3447,0.0704,0.1219
336,improve,0.0018,0.3174,0.0058,0.1605
337,improve,0.0067,0.0217,0.0036,0.0176
338,buy,0.0575,0.1246,0.0618,0.1198
