update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
265,improve,0.0045,0.3966,0.0161,0.2028
266,improve,0.0461,0.0676,0.0204,0.0799
267,buy,0.1346,0.3342,0.1287,0.3016
268,improve,0.0006,0.0483,0.0092,0.0248
269,buy,0.0226,0.2041,0.1257,0.1245
270,improve,-0.0914,0.276,0.0191,0.0466
271,buy,-0.005,0.1678,0.122,0.0788
272,improve,0.0166,0.5895,0.0163,0.3113
273,buy,-0.0033,0.3184,0.1374,0.1557
274,improve,-0.0918,0.0891,0.0151,-0.0472
275,improve,-0.0727,0.0524,0.0141,-0.0465
276,buy,-0.0239,0.2705,0.1632,0.1112
277,improve,0.011,0.1486,0.008,0.0853
278,buy,-0.0003,0.1893,0.1784,0.0942
279,improve,0.0099,0.1248,0.0091,0.0723
280,buy,-0.008,0.4487,0.2049,0.2162
281,improve,0.0268,0.0736,0.0147,0.0636
282,buy,-0.0049,0.6563,0.2371,0.323
283,improve,0.1011,0.023,0.007,0.1126
284,buy,0.007,0.2428,0.2467,0.1281
285,improve,0.0015,0.1895,0.0068,0.0962
286,improve,0.0007,0.0265,0.007,0.014
287,improve,0.0055,0.0727,0.0057,0.0418
288,buy,0.0016,0.2602,0.337,0.1313
289,improve,-0.0008,0.1238,0.0117,0.0611
290,improve,0.0237,0.0218,0.0063,0.0346
291,buy,-0.0005,0.1925,0.3587,0.0954
292,improve,0.0035,0.2652,0.0069,0.1361
293,improve,-0.0003,0.0382,0.0104,0.0188
294,improve,0.0014,0.03,0.0145,0.0164
295,buy,0.0192,0.4152,0.3737,0.2264
296,improve,0.0193,0.0169,0.0094,0.0277
297,buy,-0.046,0.4977,0.4454,0.2024
298,improve,0.0006,0.0185,0.0058,0.0098
299,buy,0.0038,0.2184,0.4699,0.1125
300,improve,0.1127,0.0603,0.0044,0.1429
301,buy,-0.0089,0.1745,0.4475,0.0779
302,improve,0.0131,0.0994,0.0078,0.0628
303,buy,0.0018,0.3868,0.4675,0.1947
304,improve,-0.0061,0.0353,0.007,0.0115
305,buy,-0.0036,0.4719,0.4491,0.2319
306,improve,0.0573,0.0492,0.0067,0.0819
307,buy,-0.0348,0.165,0.4225,0.0473
308,improve,0.0032,0.0106,0.0031,0.0085
309,buy,0.0018,0.1918,0.3812,0.0974
310,improve,0.0135,0.121,0.0027,0.074
311,buy,-0.0024,0.2135,0.4014,0.104
312,improve,0.0,0.0616,0.0057,0.0308
313,buy,0.0882,0.4668,0.4182,0.3212
314,improve,-0.0039,0.0156,0.0063,0.0039
315,buy,-0.0053,0.1231,0.3759,0.0558
316,improve,-0.0004,0.0786,0.0033,0.0389
317,buy,0.0262,0.171,0.3473,0.1113
318,improve,0.0158,0.2045,0.0111,0.118
319,improve,0.0347,0.0251,0.0075,0.0473
320,improve,0.1029,0.0396,0.0075,0.1227
321,buy,0.0124,0.493,0.3428,0.2585
322,improve,-0.0051,0.0448,0.0142,0.0173
323,buy,0.0083,0.1779,0.3878,0.0969
324,improve,-0.0171,0.3976,0.0048,0.1817
325,improve,-0.0528,0.1043,0.0078,-0.0007
326,buy,0.0856,0.7511,0.3879,0.4607
327,improve,0.0057,0.0095,0.0048,0.0105
328,buy,0.0033,0.2083,0.4822,0.107
329,improve,-0.0101,0.0462,0.0101,0.013
330,improve,0.0318,0.3193,0.0024,0.1915
331,improve,0.0007,0.0349,0.0045,0.0181
332,buy,0.1016,0.1121,0.4689,0.1572
333,improve,-0.001,0.2355,0.0049,0.1167
334,buy,-0.1224,0.314,0.4515,0.0342
335,improve,0.0016,0.0247,0.0091,0.0139
