episode,winner,ppo_agent_reward,episode_length
819,ValueBuyer,2.6,500
820,Aggressive,2.4,500
821,Aggressive,0.1,259
822,Aggressive,2.3,500
823,Aggressive,0.7,317
824,Conservative,2.1,500
825,Conservative,2.1,500
826,Aggressive,1.7,500
827,Conservative,2.35,500
828,Random,2.35,500
829,Conservative,2.35,500
830,ValueBuyer,2.45,500
831,Aggressive,2.3,500
832,ValueBuyer,2.5,500
833,Aggressive,1.35,396
834,ValueBuyer,2.3,500
835,Aggressive,-0.4,256
836,Conservative,2.15,500
837,Aggressive,2.25,500
838,ValueBuyer,2.25,500
839,ValueBuyer,2.55,500
840,Conservative,2.2,500
841,ValueBuyer,2.55,500
842,Aggressive,2.1,500
843,Aggressive,2.35,500
844,Aggressive,0.5,320
845,Conservative,2.55,500
846,Aggressive,-0.05,178
847,ValueBuyer,2.5,500
848,Aggressive,2.25,500
849,Conservative,2.4,500
850,Aggressive,1.95,500
851,Aggressive,2.15,500
852,ValueBuyer,2.4,500
853,ValueBuyer,2.45,500
854,ValueBuyer,2.4,500
855,Random,0.1,305
856,Aggressive,0.25,243
857,ValueBuyer,2.75,500
858,Aggressive,0.1,203
859,Conservative,2.3,500
860,Aggressive,2.0,500
861,Aggressive,0.95,455
862,Aggressive,1.15,432
863,ValueBuyer,2.3,500
864,Aggressive,1.05,425
865,Aggressive,0.05,281
866,ValueBuyer,2.55,500
867,ValueBuyer,2.65,500
868,ValueBuyer,2.4,500
869,Aggressive,2.05,500
870,ValueBuyer,2.55,500
871,Random,0.05,295
872,Aggressive,2.75,500
873,Conservative,2.1,500
874,Aggressive,2.05,500
875,Aggressive,2.1,500
876,Aggressive,2.2,500
877,Aggressive,2.45,500
878,Aggressive,2.35,500
879,Conservative,2.2,500
880,Conservative,2.05,500
881,Aggressive,2.4,500
882,ValueBuyer,2.15,500
883,Conservative,2.25,500
884,Conservative,2.35,500
885,ValueBuyer,2.2,500
886,Conservative,2.15,500
887,ValueBuyer,2.45,500
888,ValueBuyer,2.15,500
889,Random,2.25,500
890,Conservative,2.25,500
891,Aggressive,-0.2,466
892,Aggressive,0.0,172
893,ValueBuyer,2.45,500
894,Conservative,2.25,500
895,Conservative,2.2,500
896,Conservative,0.25,370
897,Aggressive,0.35,252
898,Aggressive,-0.3,158
899,Aggressive,2.15,500
900,ValueBuyer,2.55,500
901,Conservative,2.15,500
902,ValueBuyer,2.7,500
903,Conservative,1.9,426
904,Conservative,2.25,500
905,ValueBuyer,2.5,500
906,Aggressive,2.15,500
907,ValueBuyer,2.5,500
908,Aggressive,0.55,387
909,Conservative,2.3,500
910,Aggressive,2.05,500
911,Aggressive,2.25,500
912,Conservative,2.55,500
913,Conservative,2.2,500
914,Conservative,2.2,500
915,ValueBuyer,2.55,500
916,Aggressive,0.4,351
917,Aggressive,0.1,181
918,Aggressive,-0.05,166
919,Aggressive,2.2,500
920,Aggressive,2.25,500
921,Conservative,2.25,500
922,ValueBuyer,2.4,500
923,Conservative,2.2,500
924,Aggressive,1.95,500
925,Conservative,2.0,500
926,Conservative,2.4,500
927,ValueBuyer,2.4,500
928,Conservative,1.8,500
929,Random,2.1,500
930,ValueBuyer,2.25,500
931,Random,2.1,500
932,Aggressive,2.15,500
933,Aggressive,2.0,500
934,Conservative,0.3,241
935,Aggressive,2.2,500
936,Conservative,2.15,500
937,ValueBuyer,2.4,500
938,Conservative,2.25,500
939,Random,0.3,500
940,Aggressive,2.3,500
941,Random,1.8,500
942,Aggressive,2.6,500
943,ValueBuyer,2.5,500
944,Aggressive,-0.3,181
945,Aggressive,2.25,500
946,Aggressive,-0.0,277
947,Conservative,2.2,500
948,ValueBuyer,2.4,500
949,Aggressive,0.65,342
950,Conservative,0.0,202
951,Aggressive,2.3,500
952,Conservative,2.4,500
953,Aggressive,2.1,500
954,Conservative,2.05,500
955,Aggressive,-0.5,500
956,Aggressive,-0.25,265
957,Aggressive,2.45,500
958,ValueBuyer,2.2,500
959,Aggressive,0.25,277
960,Random,0.45,331
961,Aggressive,2.45,500
962,Aggressive,2.35,500
963,Conservative,1.8,500
964,Conservative,2.05,500
965,Aggressive,2.25,500
966,Aggressive,2.45,500
967,Aggressive,2.35,500
968,Aggressive,0.2,199
969,Aggressive,2.25,500
970,Conservative,0.0,226
971,Aggressive,2.25,500
972,ValueBuyer,2.5,500
973,Conservative,2.15,500
974,ValueBuyer,2.55,500
975,Conservative,2.25,500
976,Conservative,1.8,500
977,ValueBuyer,2.15,500
978,ValueBuyer,2.25,500
979,Random,2.15,500
980,Aggressive,-0.55,245
981,Aggressive,2.2,500
982,ValueBuyer,2.15,500
983,ValueBuyer,2.7,500
984,Aggressive,2.4,500
