update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
488,buy,0.0039,0.215,0.0673,0.1114
489,improve,0.0199,0.1253,0.0048,0.0825
490,improve,-0.0072,0.0373,0.0025,0.0114
491,improve,-0.0645,0.0038,0.0029,-0.0626
492,buy,-0.0037,0.1603,0.0625,0.0763
493,improve,0.0208,0.0597,0.0025,0.0506
494,buy,-0.0,0.2221,0.0641,0.111
495,improve,0.0078,0.0099,0.0016,0.0128
496,improve,0.0142,0.0129,0.0017,0.0206
497,buy,-0.0082,0.2309,0.0679,0.1072
498,improve,0.0104,0.0736,0.0015,0.0472
499,buy,-0.0046,0.1885,0.0716,0.0896
500,improve,0.0339,0.1364,0.0016,0.1021
501,improve,-0.0025,0.0414,0.0035,0.0182
502,buy,0.0004,0.1371,0.0728,0.0689
503,improve,0.0158,0.1052,0.002,0.0684
504,buy,-0.0036,0.34,0.0764,0.1664
505,improve,0.0059,0.0347,0.0023,0.0233
506,improve,0.0349,0.0274,0.0021,0.0486
507,improve,0.0151,0.0056,0.0025,0.0179
508,buy,0.097,0.1578,0.0581,0.1759
509,improve,-0.002,0.0723,0.0027,0.0342
510,buy,-0.0062,0.3347,0.0566,0.1611
511,improve,-0.0496,0.1681,0.003,0.0344
512,buy,-0.0225,0.3657,0.0506,0.1603
513,improve,-0.0055,0.0828,0.0032,0.0359
514,buy,0.0399,0.1813,0.0484,0.1306
515,improve,-0.0008,0.0132,0.0015,0.0058
516,improve,0.0001,0.0059,0.0012,0.0031
517,improve,0.0218,0.0043,0.0017,0.024
518,improve,0.0188,0.0064,0.0018,0.0219
519,improve,-0.0021,0.0033,0.0024,-0.0005
520,buy,0.0003,0.1835,0.0453,0.092
521,improve,0.1357,0.0316,0.0015,0.1514
522,improve,0.0152,0.1448,0.0015,0.0875
523,buy,0.0602,0.2235,0.0339,0.1719
524,improve,-0.0029,0.1054,0.002,0.0498
525,buy,-0.1256,0.35,0.0301,0.0493
526,improve,-0.0002,0.0775,0.0038,0.0386
